Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0,0.244,0.273,0.275,0.244,0.257,0.246,0.25,0.226,0.215,0.191,0.142,0.127,0.305,0.339,0.298,0.309,0.296,0.306,0.294,0.262,0.257,0.259,0.204,0.191,0.314,0.352,0.33,0.317,0.314,0.313,0.324,0.301,0.272,0.281,0.277,0.194,0.317,0.335,0.297,0.343,0.308,0.313,0.327,0.31,0.29,0.286,0.251,0.22,0.245,0.266,0.255,0.25,0.258,0.253,0.236,0.232,0.219,0.174,0.175,0.106,0.332,0.327,0.306,0.288,0.3,0.306,0.32,0.273,0.267,0.252,0.244,0.194,0.347,0.325,0.326,0.305,0.319,0.321,0.328,0.302,0.274,0.258,0.265,0.2,0.321,0.352,0.302,0.315,0.322,0.31,0.338,0.283,0.282,0.272,0.241,0.18
60,0.41,0.457,0.458,0.46,0.491,0.481,0.49,0.49,0.476,0.44,0.422,0.419,0.494,0.535,0.493,0.519,0.521,0.54,0.544,0.499,0.5,0.509,0.473,0.5,0.492,0.552,0.526,0.517,0.538,0.53,0.569,0.541,0.5,0.562,0.619,0.475,0.51,0.544,0.502,0.575,0.528,0.548,0.572,0.56,0.529,0.554,0.519,0.521,0.426,0.451,0.457,0.462,0.47,0.49,0.464,0.483,0.477,0.446,0.462,0.475,0.505,0.534,0.518,0.495,0.522,0.533,0.578,0.508,0.508,0.528,0.579,0.522,0.522,0.535,0.519,0.522,0.532,0.543,0.563,0.552,0.493,0.524,0.555,0.536,0.507,0.559,0.504,0.528,0.536,0.536,0.588,0.522,0.524,0.552,0.535,0.485
120,0.502,0.562,0.564,0.582,0.613,0.613,0.623,0.629,0.615,0.57,0.561,0.559,0.595,0.638,0.598,0.631,0.64,0.667,0.671,0.628,0.628,0.637,0.606,0.642,0.584,0.653,0.627,0.62,0.654,0.643,0.693,0.666,0.617,0.701,0.773,0.605,0.61,0.648,0.611,0.691,0.642,0.667,0.694,0.686,0.647,0.684,0.646,0.657,0.525,0.558,0.57,0.58,0.586,0.622,0.592,0.62,0.615,0.584,0.608,0.64,0.596,0.644,0.638,0.611,0.642,0.656,0.713,0.633,0.635,0.664,0.737,0.674,0.611,0.641,0.623,0.642,0.648,0.662,0.68,0.677,0.607,0.655,0.694,0.686,0.604,0.661,0.614,0.643,0.65,0.653,0.711,0.646,0.647,0.683,0.637,0.626
180,0.563,0.629,0.631,0.642,0.674,0.702,0.709,0.719,0.708,0.66,0.646,0.646,0.658,0.702,0.66,0.695,0.712,0.746,0.744,0.71,0.707,0.714,0.686,0.726,0.635,0.713,0.687,0.676,0.719,0.71,0.766,0.739,0.684,0.782,0.858,0.68,0.67,0.71,0.676,0.759,0.711,0.736,0.764,0.758,0.713,0.757,0.719,0.734,0.576,0.615,0.624,0.639,0.639,0.696,0.671,0.703,0.699,0.67,0.7,0.744,0.648,0.708,0.716,0.682,0.715,0.729,0.792,0.707,0.711,0.745,0.829,0.764,0.659,0.704,0.684,0.715,0.716,0.731,0.747,0.748,0.672,0.732,0.727,0.774,0.659,0.719,0.68,0.711,0.717,0.721,0.781,0.719,0.72,0.757,0.73,0.709
240,0.602,0.672,0.672,0.642,0.676,0.76,0.763,0.776,0.769,0.72,0.682,0.69,0.697,0.74,0.7,0.724,0.75,0.796,0.789,0.761,0.755,0.762,0.733,0.774,0.665,0.749,0.723,0.707,0.756,0.749,0.809,0.783,0.724,0.832,0.906,0.725,0.709,0.748,0.716,0.797,0.752,0.778,0.804,0.8,0.75,0.8,0.759,0.776,0.568,0.613,0.62,0.644,0.635,0.707,0.701,0.733,0.734,0.706,0.749,0.799,0.672,0.748,0.763,0.724,0.756,0.77,0.836,0.748,0.755,0.791,0.885,0.816,0.683,0.741,0.717,0.762,0.754,0.77,0.784,0.789,0.709,0.776,0.78,0.824,0.692,0.753,0.722,0.752,0.757,0.762,0.82,0.762,0.764,0.799,0.78,0.759
300,0.62,0.691,0.694,0.588,0.616,0.798,0.792,0.812,0.81,0.759,0.648,0.67,0.719,0.764,0.726,0.718,0.763,0.828,0.815,0.794,0.784,0.791,0.756,0.797,0.682,0.77,0.746,0.725,0.775,0.771,0.833,0.808,0.747,0.86,0.931,0.75,0.734,0.773,0.74,0.821,0.776,0.802,0.828,0.824,0.771,0.824,0.782,0.8,0.506,0.563,0.575,0.6,0.58,0.646,0.666,0.692,0.7,0.679,0.741,0.797,0.677,0.767,0.788,0.742,0.775,0.788,0.859,0.767,0.776,0.814,0.916,0.843,0.695,0.762,0.738,0.79,0.777,0.791,0.804,0.812,0.727,0.801,0.807,0.853,0.713,0.774,0.746,0.778,0.78,0.786,0.843,0.788,0.79,0.823,0.809,0.788
360,0.615,0.688,0.698,0.484,0.496,0.819,0.799,0.827,0.832,0.784,0.546,0.57,0.732,0.777,0.742,0.684,0.756,0.847,0.829,0.814,0.802,0.808,0.762,0.804,0.693,0.784,0.759,0.73,0.785,0.784,0.847,0.822,0.759,0.856,0.945,0.761,0.748,0.786,0.756,0.836,0.789,0.816,0.842,0.838,0.781,0.836,0.794,0.813,0.426,0.484,0.493,0.512,0.476,0.527,0.562,0.577,0.593,0.585,0.66,0.709,0.656,0.762,0.79,0.739,0.772,0.784,0.864,0.766,0.78,0.818,0.929,0.852,0.699,0.774,0.746,0.805,0.788,0.801,0.813,0.822,0.737,0.814,0.819,0.867,0.724,0.786,0.76,0.792,0.794,0.798,0.856,0.802,0.804,0.836,0.826,0.804
420,0.586,0.659,0.682,0.344,0.337,0.826,0.778,0.822,0.836,0.799,0.402,0.415,0.74,0.784,0.75,0.636,0.725,0.857,0.835,0.825,0.811,0.817,0.746,0.79,0.697,0.793,0.766,0.725,0.786,0.792,0.856,0.831,0.767,0.877,0.951,0.767,0.758,0.794,0.765,0.843,0.798,0.824,0.85,0.846,0.788,0.844,0.8,0.82,0.339,0.377,0.381,0.387,0.334,0.376,0.418,0.423,0.444,0.447,0.52,0.552,0.6,0.728,0.77,0.717,0.746,0.754,0.849,0.737,0.761,0.804,0.927,0.838,0.696,0.778,0.746,0.814,0.79,0.804,0.815,0.826,0.738,0.819,0.825,0.874,0.73,0.793,0.771,0.801,0.801,0.805,0.862,0.81,0.813,0.842,0.836,0.813
480,0.54,0.605,0.65,0.188,0.169,0.812,0.722,0.791,0.817,0.799,0.24,0.245,0.741,0.787,0.756,0.571,0.662,0.863,0.839,0.83,0.814,0.821,0.698,0.746,0.701,0.797,0.771,0.711,0.781,0.796,0.86,0.836,0.77,0.884,0.95,0.768,0.764,0.8,0.77,0.846,0.802,0.829,0.854,0.85,0.791,0.849,0.802,0.822,0.266,0.248,0.256,0.243,0.188,0.212,0.264,0.257,0.284,0.29,0.351,0.364,0.497,0.666,0.727,0.673,0.692,0.687,0.802,0.667,0.706,0.757,0.904,0.793,0.688,0.776,0.739,0.816,0.786,0.802,0.814,0.824,0.736,0.82,0.826,0.874,0.734,0.797,0.774,0.805,0.806,0.809,0.865,0.814,0.818,0.845,0.84,0.818
540,0.488,0.542,0.606,0.063,0.061,0.774,0.627,0.723,0.763,0.791,0.079,0.085,0.738,0.783,0.758,0.487,0.564,0.864,0.835,0.833,0.816,0.822,0.608,0.65,0.702,0.799,0.775,0.684,0.768,0.799,0.862,0.837,0.771,0.887,0.946,0.763,0.769,0.803,0.774,0.847,0.804,0.832,0.857,0.854,0.794,0.851,0.802,0.826,0.137,0.135,0.147,0.108,0.077,0.064,0.109,0.097,0.126,0.133,0.185,0.175,0.365,0.589,0.663,0.608,0.605,0.571,0.705,0.548,0.602,0.665,0.846,0.693,0.671,0.767,0.717,0.812,0.777,0.793,0.806,0.815,0.729,0.817,0.822,0.868,0.734,0.798,0.777,0.808,0.808,0.81,0.866,0.815,0.82,0.846,0.843,0.82
